usr1,usr2
14472,232755
933601,1756703
56748,5143989
1226674,6119599
739796,1249940
2818736,5871937
986847,1695030
92843,2223873
473,5714991
587102,1758425
435688,2853892
1826001,4868645
111461,146648
33841,460856
3182384,5714991
82192,1273177
273426,3427141
52790,434165
2315607,5724228
1513467,5143989
402967,792285
1712598,2353363
76946,1144573
241585,334563
82192,6119599
212282,6071306
2646915,2818736
779141,8639146
1962045,5960075
334563,5724228
634955,5642707
14472,620271
36233,5871937
694259,998313
132665,1067313
396323,438326
503122,6119599
194198,1076044
1507577,2277728
23567,8639146
7261,2223873
1231495,1798463
189281,6164668
435688,626875
90131,125878
1226674,3079937
430086,6190771
5143989,7039321
385822,4759041
7210,788587
125878,460856
2046995,3734289
111461,4250706
27266,5871937
92843,156320
521120,3182384
1947676,7991310
194198,4724924
1273177,2853693
3577991,3700974
189281,2646915
631996,788587
233976,4942353
14472,1756703
302697,915191
85051,2641840
136510,3269965
30863,405590
57421,742786
68605,2141080
4447,5642707
1756703,6202990
334563,5143989
1405995,2277728
63134,1754803
938549,1714705
23567,6527694
72606,6119599
7210,288997
185943,2608895
9892,212282
13217,1077837
686203,3506284
2608895,5516634
2525897,8835479
544704,1364486
266091,6551009
503122,5902332
27266,101455
233976,405590
965006,2641840
82192,1075084
631996,779141
1616594,7250838
912312,1152071
232755,3577991
56154,1962045
505852,2525897
1739,36470
454747,3182384
440039,1798463
54906,1826001
46271,2225982
1402639,2818736
90131,1118283
25430,2270968
233976,3481577
1424016,5988485
1077837,3011117
1316957,1379848
755148,2803008
23567,537571
27266,587102
29755,3506284
23567,46271
1548496,5871937
438326,2688004
212282,630373
46271,156568
454747,3828843
755148,6071306
711003,2908342
98936,916926
537571,1076044
194198,1513467
5871937,7496333
473,4556198
1376285,1695030
30863,869990
133141,8639146
111461,6902645
93746,2525897
779141,3282780
587102,8343416
56762,3785977
9211,5043133
883095,1376285
742786,4556198
14472,266091
1379054,2141080
29755,368741
4447,1249940
1075084,2169738
1320780,2908342
111461,302697
42843,357940
385822,938549
435688,1075084
3203536,4424345
33841,5516634
3219133,3427141
54906,3785977
1962045,6184862
424320,3506284
82192,2223873
1513467,2141080
3427141,4769530
156320,454747
1005107,7496333
9211,1062140
1134263,3785977
68636,273426
92843,1379054
711003,3700974
3079937,3269965
2300789,5902332
185943,302697
241585,2353363
2270968,8835479
899891,1836668
1261542,5933583
9211,2170843
1249940,2315607
334563,1758425
52238,779141
266091,288997
521120,7039321
25430,1075084
3003468,5934494
1739,2646915
493975,2828992
933601,2054463
69856,2908342
883095,1516901
424320,6902645
9892,209811
399435,8726568
33841,6184862
2608895,4769530
13743,459282
460856,755148
6171,57421
55581,4769530
93746,570900
5642707,6902645
82192,1695030
1754803,4942353
3203536,5871937
912312,1119331
7210,1513467
63134,5934494
1405995,2404390
13743,218869
334563,5714991
4035394,5934494
1134263,1826001
2075011,8639146
2270968,6634170
1419052,2046995
146648,933601
47664,521120
539015,1424016
4447,808866
6190771,8835479
63134,1005107
1249940,6119599
90131,1836668
125878,146648
76946,779141
2170843,2247283
385822,884982
690214,3785977
125009,1075084
2596435,5143989
998313,4424345
176259,887375
631996,7534116
33841,1364486
9211,136510
1161310,6902645
788587,808866
711003,5724228
69856,1756703
7261,132665
316231,1134263
52238,3497995
9211,5871937
1755055,2270968
56748,368741
69856,98936
434165,1144573
932135,1005107
76946,869990
912312,1077837
5934494,5960075
125009,1826001
1226674,1836668
1714705,4724924
792285,962131
333886,1894914
33054,1379848
1077837,6808752
1451192,4424345
42843,2225982
334563,440039
626875,1798463
3079937,3700974
334563,1451192
14472,156568
435688,1077837
368741,5960075
1616594,1755055
2229334,4769530
334563,521120
887375,1144573
7210,1385270
359482,1754803
302697,1419052
186270,1513467
899891,986847
1836668,2054463
90131,6213971
87069,516819
6171,156568
1712598,3700974
884982,899891
46271,2411545
55581,5724228
90131,933601
2404390,5933583
232755,587102
1379054,1405995
68636,4942353
5043133,5934494
133141,1062140
1387211,7250838
516819,1076044
357940,1912944
402967,2453479
57421,5960075
101455,3506284
76946,1077837
7210,1161310
630373,3828843
273426,5933583
241585,1937524
912312,2411545
4759041,5960075
869990,5933583
64356,460856
3828843,7039321
13743,460856
2803008,7496333
33054,634955
9892,359482
146648,2270968
209803,6902645
157494,1387211
539015,2908342
3219133,6119599
101455,7039321
516819,1514032
14472,36470
302697,1119331
2170843,3506284
537571,6190771
690214,1077837
503122,1379848
13743,4868645
1261542,4868645
42843,544704
2054463,8634891
72606,359482
189281,1385270
587102,3700974
3515929,7991310
30863,36233
133141,869990
56154,962131
85051,334563
25430,2646915
23567,7496333
36233,3079937
33054,316231
2828992,3515929
1387211,8639146
90131,4868645
333886,2608895
3003468,5960075
13217,1144573
1405995,1424016
1152071,1379054
176259,2277728
316231,1513467
916926,1229358
1062140,2646915
9211,2075011
9211,1826001
54161,2908342
156320,2169738
2223873,2537610
1956315,3282780
68605,1364486
962131,2661032
334563,808866
46271,808866
3003468,6634170
587102,6184862
69856,93746
424320,1152071
288997,7991310
30863,690214
29755,241585
503122,2046995
92843,6202990
7210,521120
156568,189281
241585,2641840
1279493,2315607
25430,278913
46271,8634891
76946,212282
460856,582168
1364486,1451192
1231495,1513467
52238,2075011
209811,8835479
3282780,3481577
1419052,1836668
503122,8639146
2661032,6527694
965006,3734289
1075084,3079937
208550,7496333
