usr1,usr2
112176,1786383
28589,258511
372376,6791829
5305,8749267
9211,6970188
109903,258570
8335,1020289
1044882,2354983
187519,551259
106406,5526484
583276,931422
372801,584349
665270,734172
71551,874129
10978,158449
90075,1504640
28152,29128
39559,1786383
202665,5526484
38552,248400
6898,132066
831087,1813441
601061,1819502
359809,724741
36378,80197
19076,1027513
9215,151722
141264,1210398
884773,1946486
10108,69114
71520,406792
371717,1303874
8925,155269
11042,168346
43290,831087
8209,13542
11201,583276
302674,5573065
16281,226706
258570,354317
371717,2354983
264561,1210398
33428,2760043
884773,976281
14107,69994
8335,3566761
20193,212938
27900,883111
14956,734172
995,515035
6442,19076
3491576,4504297
18966,2679321
8835,197433
71551,2975602
201236,1721546
2857,29256
124886,6423226
73761,103598
18966,168160
64475,419256
25158,2679321
239889,874129
17184,5269945
80197,3180433
13691,3873100
72794,774921
96550,132066
38552,660460
8260,1836290
28887,1094566
4751,18735
24358,244389
17952,2998780
7262,18860
45646,932401
11306,39614
292833,320118
212977,833142
106406,873862
38552,78970
209755,2379430
757676,6150533
28106,114081
140085,359809
27544,71520
126017,148673
11306,3566761
84045,138902
13395,3307455
757676,4652874
912668,1149611
28152,3860924
9779,48049
1212932,2013105
77588,1956414
8961,612914
39559,108787
139612,1997268
3215,282056
13567,77588
61584,108366
106334,2186895
4725,71282
55621,874045
1337707,1942032
17715,4228415
15383,71551
203,74655
18930,50149
149859,353803
16162,351041
143713,381455
8925,136129
49546,134389
38622,498693
308968,874081
274885,344213
18138,231692
16162,72794
11032,3566761
202665,883111
71282,239214
3924772,5269945
55716,308968
16281,498693
142195,1044882
65030,344213
39614,480758
267472,5629049
6408,180923
67240,3016826
6407,94127
21630,280396
212623,535454
1276,89579
54818,3658898
1831,231692
128549,158449
18263,23272
478631,976281
114081,124338
16391,874047
8938,72794
8260,3143231
31817,35468
69505,3143231
17882,158744
106058,162045
138902,310434
134626,1621788
6448,2522079
128608,1459188
307240,1020289
539028,585025
128588,231692
3215,230112
308968,4939945
61301,159401
310434,484237
202665,520587
2998780,6503757
6290,6970188
2998780,3924772
38552,186739
1563,63463
6898,21464
1831,45458
205401,818343
932682,3016826
14511,102246
70710,874162
138902,1397211
873961,874047
24358,164122
2907,470738
372376,1798463
3080,16281
624186,1200952
6408,20193
187519,837070
37213,5824895
6898,391067
539505,874081
38622,124886
198591,280396
11042,480758
17401,2760043
18966,3272060
1005,109279
2949,6408
354317,1337707
23706,3936399
9930,282056
130877,1897276
34351,1084354
8209,70698
85840,1300606
1276,90966
71520,79298
28152,6503757
168160,404238
318560,874047
280396,873961
18138,112398
1819502,2522079
3941,1249760
167817,769869
320704,556909
4796,929884
594993,874162
2308,3854
2948730,4939945
26363,141264
6442,17781
39621,43290
78970,205476
70698,874145
12548,3491576
203,143012
202665,790137
28345,44028
18860,107848
19076,69994
2302,43290
1836290,5573065
42130,94127
26363,381455
212977,2760043
77565,2245366
14107,1946887
28589,63463
27900,73761
1303874,5013455
439,102246
69114,168013
37157,134626
4751,1210398
371717,2522079
105379,6150533
140085,1997268
63463,3936399
124338,310434
320118,6970188
1831,379718
17413,874162
143713,461361
17781,39614
168013,563612
451267,1969795
36590,198895
1249760,2522079
60449,1798463
39489,200568
39489,353803
102246,253991
151722,594993
4751,28345
344213,913366
13395,2948730
8835,77588
198895,2514587
113430,4939945
136906,2760043
28183,1397211
11626,232765
1361,9211
12573,39559
18263,88607
13567,186739
71282,80197
4130,18804
12548,64475
9326,106406
12662,2281316
250683,1358257
992,874021
407104,2408940
9326,11042
18263,21464
36486,112176
36486,39495
274885,874145
9972,61365
160699,2408940
9215,712940
18143,64475
2013105,2317752
20193,1285226
307240,831087
96783,539505
7257,141264
959681,1911478
4360,574487
1337707,1441352
277519,1094566
32952,551259
107848,929884
480790,620173
2198787,6791829
6407,17715
29869,3272060
11306,404238
80638,372376
23250,351041
4796,2807710
164122,3491576
23180,391036
67240,668790
9931,178018
29128,128608
874047,1911478
6442,612914
106406,913076
3215,3658898
6898,3307455
790137,4868633
168346,1179660
8961,10047
36692,78970
974,5160862
70891,87176
5364,913076
44090,1969795
50149,833142
171314,209382
774921,6492605
186739,837070
36378,539505
88607,913076
874055,4066699
85840,8749267
1199,114081
48049,7865263
6418,78679
30453,36729
26363,585025
50505,277519
22907,620460
4130,39489
29128,60052
66641,88450
207900,2186895
78970,212977
3854,2198787
1337707,3921910
9779,39614
1327,6970188
484237,712940
103775,584349
44764,2013105
71750,96552
320118,1786383
912668,2019222
8267,3608067
36752,874081
128549,1200601
6442,140085
14428,136129
36486,158744
6426,65030
6407,3250792
160844,1303874
198591,873862
23706,1530004
274885,1337707
103598,8749267
72794,400195
974,2552
992,1179660
32731,1149611
6599,106058
56518,913366
391067,3924772
38552,1249760
39614,2354983
71520,2054114
17184,1946486
130877,2317752
71551,144292
39614,1303874
379718,1721546
9972,1285226
128588,1839508
1911478,3166792
11626,6423226
18804,48049
18966,247459
353801,361024
39559,1504640
1813441,6213068
97449,282056
11201,320603
1005,3941
231692,480758
32738,2522079
180923,2748509
4796,11201
72794,932682
11042,247459
14956,3860924
14107,50484
1210398,6213068
391067,6503757
64475,124338
20193,1397211
3941,6418
61913,2281316
484237,2299206
78970,87176
11201,67240
7257,126017
264561,6791829
9779,18804
9211,1946486
8835,36729
369564,449745
22199,382410
6426,10108
419256,1969795
665270,3250792
17031,391067
1954,17413
874047,874081
130877,155173
11042,36378
17882,18735
80197,884773
148673,712940
22869,3401881
15383,42155
9972,2452104
2308,2013105
14956,2299206
11201,212623
61584,160699
1236618,1672862
8267,17716
14162,734172
10058,78234
44147,563612
21594,84045
1327,1786383
1819502,6492605
2308,407104
878282,2019222
50484,251509
660460,774921
17952,4066699
164087,1946887
64475,874055
23706,155269
5305,90075
44147,2408940
187519,212938
107848,3860924
36692,5013455
17184,406792
962,48049
665270,1441352
130877,187519
3854,3307455
9215,226706
524400,833142
302674,515035
106406,359809
1210398,1956414
2198787,8099636
212623,382410
160699,665270
11855,128588
108787,198591
3941,2522079
6400,18138
114988,2514587
161524,2452104
54398,201236
18898,64475
2354983,4868633
61584,136129
9858,3921910
50149,874074
29869,6492605
29256,2354983
969,874047
14107,161660
27544,1249760
17882,94127
264561,975666
69114,583276
17930,68080
21815,320118
1276,3566761
36590,419256
203,833142
212623,959681
50149,8979982
9211,17031
141264,221359
107848,567714
13798,539505
1305235,1575077
12017,3180433
96552,96783
17413,2198787
6396,601061
6407,36590
97449,389235
2856,300887
135433,5013455
205401,1358257
11961,624186
28560,202665
962,712940
50505,5824895
187519,230112
71520,912668
353803,1942032
1276,16718
6423,267472
38246,3157286
3164,873961
8335,2998780
6400,102246
253991,289822
327307,8979982
90120,97595
144292,5824895
11042,3016826
546952,5629049
148673,164087
624186,2948730
2613,67240
6216,78234
21594,6150533
28106,2698894
134626,451267
2856,6599
126017,932682
12662,253991
13542,78234
70698,4939945
3941,2198787
163006,2514587
90966,1459188
64994,106334
18042,2514587
6396,106334
584349,594993
44090,1249760
28589,202181
29869,96550
13798,4226834
712940,2807710
23250,3566761
382410,6213068
148673,1798463
962,371717
248400,584349
83505,8979982
8835,79766
73581,83505
6396,4504297
8209,5332833
874061,1689104
23180,171314
43608,65645
2302,267472
155173,207900
41505,79298
2122,96552
831087,1672862
2122,13798
55716,5573065
15170,1897276
267583,873961
51048,116993
17715,1212932
38246,585025
48049,1527499
161660,1911478
13542,140085
144309,361024
79766,167911
55621,6791829
13542,6503757
361024,1013109
17930,232765
4569,17930
1954,584349
9972,712940
17401,144292
11042,1044882
816855,1621788
33441,168013
7095,71551
12035,146539
28560,391036
391067,1689104
168013,249329
146516,912668
406792,878282
36378,143012
9211,644767
8267,2013105
7262,456559
12573,130877
1327,79298
102246,289092
18767,201236
556909,6150533
7262,9821
141869,3157286
39489,155173
1276,277519
33441,96550
818343,874162
30453,874129
50149,2299206
15383,18930
64994,1897276
7125,301614
874061,1179660
104557,164087
101264,4652874
974,80638
11032,873819
3164,14428
6426,6150533
136906,141264
36729,239214
10058,2998780
2613,419256
456559,2522079
162649,180176
138902,6087862
2552,83505
6221,277519
250683,1337707
2302,6150533
13542,69114
1831,146539
66641,109903
160844,244389
11306,66149
264561,379718
6221,63463
6993,31284
14956,305784
79298,1303874
524400,540052
45767,480758
439,2017368
203,1836290
33428,223056
5064,247459
79766,874045
136129,660460
2017368,3180433
73581,3924772
22359,97449
1361,913366
69994,74298
9211,132066
128608,307240
21464,1149611
18804,209755
203,497712
18042,1459188
1300606,3444046
200568,966079
18804,326036
5305,16281
106334,874045
164122,724741
23272,2452104
1276,45646
79778,5629049
20158,23250
320118,1767861
