usr1,usr2
1134263,5988485
82192,630373
368741,779141
132665,2141080
368741,2463963
3203536,8634891
405590,1516901
46271,1067313
5043133,7250838
3700974,6071306
3700974,6634170
69856,368741
47664,56762
266091,3700974
46271,209811
14472,125009
132665,2229334
1419052,3700974
368741,6202990
1387211,1516901
132665,634955
56748,631996
1005107,5043133
90131,539015
93746,368741
56762,157494
46271,101455
1118283,8634891
503122,600122
368741,1379054
1739,600122
133141,1756703
64356,3515929
998313,2046995
3497995,6902645
505852,5871937
2046995,2223873
544704,792285
133141,1947676
176259,3700974
430086,1229358
1516901,1754803
56762,434165
402967,6071306
2046995,2853892
459282,630373
1695030,4769530
20707,739796
56748,368741
1379848,5043133
93746,505852
72606,1516901
133141,3749329
14472,47664
7210,537571
133141,1075084
505852,2247283
630373,1516901
965006,8634891
1419052,1937524
2270968,5043133
2046995,4556198
779141,3828843
2046995,6119599
1516901,2075011
582168,711003
133141,1134263
156568,600122
46271,56154
33841,1756703
1152071,2046995
46271,3744310
52238,133141
5143989,8634891
56748,87069
1756703,2225982
132665,3481577
1005107,2225982
56748,1320780
7261,2853693
14472,1229358
2046995,2641840
1419052,1712598
1419052,7250838
2225982,6184862
1134263,2661032
505852,1798463
1695030,6527694
505852,1714705
779141,2277728
133141,620271
133141,1516901
1134263,1419052
368741,2169738
1962045,3497995
5043133,5516634
56762,3003468
3497995,8726568
33841,2525897
52238,1118283
36470,90131
56154,434165
7789569,8634891
46271,932135
887375,3785977
46271,90131
368741,641255
56748,1273177
56748,208550
4447,56762
56748,779141
52238,359482
33841,1712598
1134263,6119599
7210,5871937
133141,266091
368741,3744310
1548496,2300789
430086,600122
1229358,2908342
7261,85051
1451192,1516901
6171,56154
7261,1364486
600122,711003
1894914,3515929
402967,505852
46271,1754803
2046995,5143989
779141,932135
368741,1451192
3700974,4556198
1695030,2641840
90131,1894914
998313,3497995
505852,6071306
52238,3700974
52238,742786
1419052,3481577
52238,8726568
2411545,6212380
1076044,1229358
1798463,8634891
90131,503122
133141,359482
2046995,2404390
1516901,1758425
33841,2537610
14472,1405995
133141,1836668
402967,5043133
30863,46271
368741,2046995
368741,1616594
189281,1516901
46271,68605
133141,2537610
7210,883095
600122,1273177
101455,630373
4250706,6551009
868924,3700974
4035394,8634891
869990,2353363
56154,626875
52238,516819
634955,5902332
1516901,3515929
2596435,5724228
1695030,2828992
90131,1119331
46271,1894914
368741,454747
56762,627271
434165,600122
218869,1152071
36233,56748
333886,630373
438326,3785977
46271,3828843
316231,600122
779141,1405995
133141,405590
56762,2803008
56762,3744310
54906,368741
368741,1231495
1547483,1548496
7261,278913
54906,1516901
1402639,5043133
544704,630373
7210,1937524
33841,2229334
402967,1419052
90131,3003468
46271,186270
133141,6190771
56154,1320780
630373,1231495
33841,368741
3749329,5043133
2046995,3497995
56748,1229358
46271,273426
1145853,1516901
1261542,1695030
962131,3700974
133141,537571
56748,1516901
1695030,6902645
132665,3700974
1956315,3497995
133141,5960075
912312,1695030
56748,185943
46271,434165
368741,1894914
132665,5902332
396323,1516901
133141,4424345
7210,634955
1379054,1516901
90131,208550
90131,1316957
7261,302697
27266,133141
186270,3700974
23567,544704
1364486,1516901
630373,1229358
587102,8726568
46271,157494
14472,76946
505852,686203
505852,6902645
132665,133141
1419052,5902332
368741,1134263
915191,7250838
3515929,3785977
1516901,5934494
686203,2046995
1695030,7991310
368741,932135
133141,5516634
630373,1279493
14472,493975
916926,1229358
2046995,6808752
742786,8634891
1756703,3700974
56748,1514032
694259,915191
454747,2046995
1062140,1229358
1229358,1547483
56748,133141
368741,6634170
916926,1514032
1695030,2453479
46271,509529
368741,7250838
5902332,6212380
4447,133141
630373,3785977
33841,54161
368741,1075084
402967,1507577
2141080,5902332
33841,5642707
3219133,5043133
1671300,2046995
3700974,7534116
4250706,7039321
2225982,3481577
46271,1514032
694259,3700974
56748,241585
46271,493975
90131,157494
779141,2170843
56748,792285
1424016,3700974
33841,6202990
454747,5043133
1134263,5642707
1134263,5043133
56762,1547483
14472,185943
13217,600122
136510,402967
3497995,4035394
46271,1548496
27266,915191
46271,711003
3700974,4759041
56748,1161310
209811,544704
1712598,3700974
98936,133141
1937524,3700974
13743,600122
1134263,1756703
52238,8634891
133141,2411545
52790,132665
133141,2463963
1229358,1516901
869990,1144573
3079937,3700974
1067313,1316957
33841,69856
266091,368741
189281,3700974
368741,7496333
36470,1516901
189281,368741
56762,630373
544704,1912944
56762,1387211
7261,2818736
52238,6527694
1712598,2411545
1516901,3079937
402967,1261542
14472,2688004
46271,156320
620271,2225982
1695030,3506284
14472,396323
368741,2453479
630373,2170843
630373,779141
2270968,3700974
1134263,2046995
2046995,3182384
505852,998313
454747,1419052
57421,630373
544704,627271
33841,334563
505852,3700974
133141,399435
82192,1516901
2046995,3427141
357940,3700974
2046995,8726568
402967,516819
544704,626875
368741,986847
1419052,4759041
544704,2067052
440039,600122
7261,3079937
64356,779141
54906,90131
1134263,1152071
2411545,5902332
2046995,7991310
368741,1419052
1385270,2046995
3497995,7789569
694259,1419052
634955,3700974
3282780,3497995
56762,440039
1712598,2225982
